Year,Rank,Movie,Poster_URL,Genre,TMDb_Rating,TMDb_Vote_Count,Popularity_Score,Release_Date,Runtime_Minutes,Box_Office_USD,Director,Streaming_Original,Primary_Studio_or_Platform,Cult_Classic,Family_Friendly,Rewatchability_Score_10,Overview
1995,4,Braveheart,https://image.tmdb.org/t/p/w500/or1gBugydmjToAEq7OZY0owwFk.jpg,"Action, Drama, History, War",7.945,11373,18.5109,1995-05-24,178,213216216,Mel Gibson,No,"The Ladd Company, Icon Productions, Icon Entertainment International",No,No,6,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule."
1995,5,Dilwale Dulhania Le Jayenge,https://image.tmdb.org/t/p/w500/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg,"Comedy, Drama, Romance",8.504,4617,14.3307,1995-10-20,190,100000000,Aditya Chopra,No,Yash Raj Films,Yes,No,6,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga."
1995,6,The Usual Suspects,https://image.tmdb.org/t/p/w500/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,"Drama, Crime, Thriller",8.165,11682,19.3947,1995-07-19,106,23300000,Bryan Singer,No,"Bad Hat Harry Productions, Blue Parrot Productions",Yes,No,6,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
1995,7,Die Hard: With a Vengeance,https://image.tmdb.org/t/p/w500/buqmCdFQEWwEpL3agGgg2GVjN2d.jpg,"Action, Thriller",7.283,6806,16.6284,1995-05-19,128,366101666,John McTiernan,No,"20th Century Fox, Cinergi Pictures, Andrew G. Vajna Productions",No,No,6,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration."
1995,8,Bad Boys,https://image.tmdb.org/t/p/w500/x1ygBecKHfXX4M2kRhmFKWfWbJc.jpg,"Action, Comedy, Crime, Thriller",6.832,7105,15.7994,1995-04-07,119,141407024,Michael Bay,No,"Columbia Pictures, Don Simpson/Jerry Bruckheimer Films",No,No,6,"Marcus Burnett is a henpecked family man. Mike Lowrey is a footloose and fancy free ladies' man. Both Miami policemen, they have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other."
1995,9,Twelve Monkeys,https://image.tmdb.org/t/p/w500/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,"Science Fiction, Thriller, Mystery",7.612,9343,17.6812,1995-12-29,129,168841459,Terry Gilliam,No,"Universal Pictures, Atlas Entertainment, Classico",No,No,6,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease."
1995,10,Ghost in the Shell,https://image.tmdb.org/t/p/w500/9gC88zYUBARRSThcG93MvW14sqx.jpg,"Action, Animation, Science Fiction",7.928,4026,18.7715,1995-11-18,83,10000000,Mamoru Oshii,No,"Bandai Visual, Production I.G, Kodansha",No,Yes,6,"In the year 2029, the barriers of our world have been broken down by the net and by cybernetics, but this brings new vulnerability to humans in the form of brain-hacking. When a highly-wanted hacker known as 'The Puppetmaster' begins involving them in politics, Section 9, a group of cybernetically enhanced cops, are called in to investigate and stop the Puppetmaster."
1995,11,Casino,https://image.tmdb.org/t/p/w500/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,"Crime, Drama",7.999,6699,12.2693,1995-11-22,179,116112375,Martin Scorsese,No,"Universal Pictures, Syalis DA, Légende Films",No,No,6,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite."
1995,12,Batman Forever,https://image.tmdb.org/t/p/w500/i0fJS8M5UKoETjjJ0zwUiKaR8tr.jpg,"Action, Crime, Fantasy",5.459,5707,15.0784,1995-06-16,121,336529144,Joel Schumacher,No,"Warner Bros. Pictures, Tim Burton Productions, Polygram Pictures",No,No,6,"Batman faces off against two foes: the schizophrenic, horribly scarred former District Attorney Harvey Dent, aka Two-Face, and the Riddler, a disgruntled ex-Wayne Enterprises inventor seeking revenge against his former employer by unleashing his brain-sucking weapon on Gotham City's residents. As the caped crusader also copes with tortured memories of his parents' murder, he has a new romance, with psychologist Chase Meridian."
1995,13,Whisper of the Heart,https://image.tmdb.org/t/p/w500/5FROLD8zpWFs9ja7aYho1uOMJHg.jpg,"Animation, Drama, Family",7.946,2343,12.6456,1995-07-15,111,0,Yoshifumi Kondo,No,"Studio Ghibli, Nippon Television Network Corporation, Tokuma Shoten",No,Yes,6,"Shizuku lives a simple life, dominated by her love for stories and writing. One day she notices that all the library books she has have been previously checked out by the same person: ""Seiji Amasawa."""
1995,14,Before Sunrise,https://image.tmdb.org/t/p/w500/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg,"Drama, Romance",7.97,4836,11.8351,1995-01-27,101,5987386,Richard Linklater,No,"Castle Rock Entertainment, Detour Filmproduction, Filmhaus Films",No,No,6,"An unexpected meeting on a train leads two travelers to spend an evening wandering through Vienna. As the night unfolds, they share stories and conversations about life and love, exploring new ideas while a quiet intimacy grows between them, knowing it may be their only night together."
1995,15,Waterworld,https://image.tmdb.org/t/p/w500/X4UyUO5jgzs3c5YafnmYKLKKYw.jpg,"Adventure, Action, Science Fiction",6.238,4195,13.4007,1995-07-28,135,264218220,Kevin Reynolds,No,"Gordon Company, Davis Entertainment, Universal Pictures",No,Yes,6,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland'—which is tattooed on Enola's back."
1995,16,The Bridges of Madison County,https://image.tmdb.org/t/p/w500/aCBrhOQjhG397GLkEZ49zReQEKX.jpg,"Drama, Romance",7.716,2429,13.7372,1995-06-02,135,182000000,Clint Eastwood,No,"Malpaso Productions, Warner Bros. Pictures, Amblin Entertainment",No,No,6,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
1995,17,GoldenEye,https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,"Adventure, Action, Thriller",6.906,4456,11.42,1995-11-16,130,352194034,Martin Campbell,No,EON Productions,No,Yes,6,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it."
1995,18,Apollo 13,https://image.tmdb.org/t/p/w500/tVeKscCm2fY1xDXZk8PgnZ87h9S.jpg,"Drama, History",7.464,6076,14.3602,1995-06-30,140,355237933,Ron Howard,No,"Imagine Entertainment, Universal Pictures",No,No,6,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy."
1995,19,Sense and Sensibility,https://image.tmdb.org/t/p/w500/9YdQ73YmvInxpXZVNjEKePw9tRO.jpg,"Drama, Romance",7.418,1882,11.6804,1995-12-13,136,134582776,Ang Lee,No,"Columbia Pictures, Mirage Enterprises",No,No,6,"The Dashwood sisters, sensible Elinor and passionate Marianne, learn that their prospects of marriage seem doomed by their family's sudden loss of fortune. After Henry Dashwood dies unexpectedly, his estate must pass on by law to his son. These circumstances leave Mr. Dashwood's wife and daughters without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men."
1995,20,Ace Ventura: When Nature Calls,https://image.tmdb.org/t/p/w500/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,"Crime, Comedy, Adventure",6.345,4678,10.801,1995-11-10,90,212385533,Steve Oedekerk,No,Morgan Creek Entertainment,No,Yes,6,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war."
1995,21,Under Siege 2: Dark Territory,https://image.tmdb.org/t/p/w500/gElwFCQTbSK5hdK0PVyia547nst.jpg,"Action, Thriller",5.864,1057,10.5829,1995-07-13,99,104324083,Geoff Murphy,No,"Regency Enterprises, Seagal/Nasso Productions, Cutting Edge Films",No,No,6,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback."
1995,22,Fallen Angels,https://image.tmdb.org/t/p/w500/yyM9BPdwttK5LKZSLvHae7QPKo1.jpg,"Action, Romance, Crime",7.691,1359,10.359,1995-09-06,98,0,Wong Kar-Wai,No,Jet Tone Production,No,No,6,"An indifferent hitman, his infatuated business partner and an ex-convict search for love and meaning as their lives cross paths in Hong Kong."
1995,23,Kids,https://image.tmdb.org/t/p/w500/8qV8hUVCUnFIQKewzlhaFWhdszK.jpg,"Drama, Crime",6.878,1345,13.8391,1995-07-21,91,20412216,Larry Clark,No,"The Guys Upstairs, Independent Pictures",No,No,6,"A group of bored, disaffected New York City teenagers spend a day skating, smoking, drinking, partying, deflowering virgins, and getting into fights."
1995,24,Casper,https://image.tmdb.org/t/p/w500/2ah8fNJFZVU3vcXhU5xfAYi2eym.jpg,"Fantasy, Comedy, Family",6.346,5027,9.0671,1995-05-26,100,287928194,Brad Silberling,No,"The Harvey Entertainment Company, Universal Pictures, Amblin Entertainment",No,Yes,6,"Casper is a kind young ghost who peacefully haunts a mansion in Maine. When specialist James Harvey arrives to communicate with Casper and his fellow spirits, he brings along his teenage daughter, Kat. Casper quickly falls in love with Kat, but their budding relationship is complicated not only by his transparent state, but also by his troublemaking apparition uncles and their mischievous antics."
